temp1,temp2,temp3,curr
2.0160615253151035,2.036062135685293,2.046062440870388,0
2.0160615253151035,2.044062379833369,2.0300619525742363,0
2.0160615253151035,2.0280618915372175,2.0640629902035585,0
2.0160615253151035,2.058062807092502,2.0100613422040468,0
2.0160615253151035,2.0140614642780847,2.0680631122775965,0
2.0160615253151035,2.0640629902035585,2.0100613422040468,0
2.0160615253151035,2.0100613422040468,2.0780634174626913,0
2.0160615253151035,2.072063234351634,1.996060914944914,0
2.0180615863521227,1.998060975981933,2.1000640888698996,0
2.0160615253151035,2.1000640888698996,1.9740602435377057,0
2.0180615863521227,1.9760603045747245,2.0600628681295206,0
2.0140614642780847,2.0960639667958616,2.0260618305001983,0
2.0180615863521227,1.996060914944914,2.036062135685293,0
2.0160615253151035,2.036062135685293,2.04206231879635,0
